,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1991-07-01,0.46,5.87,-2.13,3.35,2.14,1.95,6.18,4.74,5.6,-1.41,8.41,15.09,-1.99,0.86,12.58,1.25,9.97,0.92,13.04,4.09,4.35,6.74,2.64,-2.35,0.05,5.77,-3.3,7.26,1.97,7.48
1991-08-01,-11.12,-3.41,-2.83,0.86,2.81,1.55,2.74,2.16,3.76,-3.39,7.32,8.46,5.99,6.52,5.48,15.68,3.19,1.36,-0.21,0.22,-1.05,0.4,4.3,4.94,2.94,-2.15,8.35,7.64,3.02,1.77
1991-09-01,8.23,4.34,-0.66,5.41,3.18,-0.42,5.11,-3.33,8.82,10.47,4.05,7.67,-9.82,0.87,2.64,-3.94,7.81,11.07,-1.48,1.77,5.01,7.46,-1.77,5.33,14.4,-7.0,-0.99,2.49,2.94,7.36
1991-10-01,2.69,-12.15,3.3,-1.18,7.04,-1.27,-0.92,3.49,3.47,3.49,-6.96,4.65,-4.92,1.94,-8.7,3.67,-2.65,-4.04,5.4,1.99,-1.03,4.55,-1.43,0.96,2.26,-3.27,3.51,-1.8,-0.47,5.27
1991-11-01,-6.84,-17.72,6.06,10.57,-1.54,-6.54,-1.35,-1.79,-1.38,-6.62,1.83,2.78,-9.11,1.88,12.83,0.91,-2.14,-0.47,2.99,-5.69,0.39,-1.18,11.3,-1.56,9.5,-7.6,2.41,1.18,-3.53,0.02
1991-12-01,8.82,-1.46,-5.71,1.37,-3.49,-0.24,0.91,-7.4,-5.1,3.75,-1.4,-15.92,6.08,2.21,-3.88,-7.77,4.73,2.44,15.37,2.64,2.55,0.51,6.78,4.49,8.25,-2.57,-0.74,-1.42,3.47,5.78
1992-01-01,-9.23,-6.59,-6.16,-8.81,3.31,-10.59,-8.66,-9.05,-14.53,-9.56,-12.28,-8.97,0.97,-9.53,-14.04,-4.39,-2.13,-7.37,-13.13,-3.71,-6.05,-2.69,-8.44,-1.6,-11.41,-5.37,-7.86,-13.16,-11.98,-4.67
1992-02-01,-7.42,-10.32,-6.55,-1.46,-12.03,-7.42,-7.88,2.82,-4.04,1.29,-11.98,-13.77,-1.96,-6.86,-2.31,-4.52,-4.38,-2.22,-1.8,-1.9,-9.98,-9.25,-0.43,2.21,-10.44,-16.3,-5.15,-0.52,-0.04,-4.0
1992-03-01,-6.95,-9.03,-5.43,-6.96,-5.73,5.09,1.21,1.71,-7.88,2.18,-2.94,-2.68,3.4,-3.77,-0.42,1.23,-3.5,-9.51,-5.21,-5.73,-8.29,1.13,5.02,3.71,-2.3,4.73,-4.93,-3.81,-8.68,-3.75
1992-04-01,-2.72,-11.15,-3.92,-4.15,8.35,1.87,-2.92,-1.38,-2.99,-3.03,-9.18,-4.86,-7.15,-9.48,-0.31,0.61,-11.36,-2.04,2.02,0.81,1.09,-1.97,-9.55,-9.19,-0.57,-0.27,2.84,2.57,-4.0,-7.19
