,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
Food,1.0,0.2406019988427323,0.5012383558789189,0.5060225029396203,0.22283521638617962,0.3768307945877928,0.4907764208995524,0.40562719669868436,0.4845845005239744,0.31240726139334213,0.455336899062856,0.37623182077450895,0.4337605164160323,0.5197349980884874,0.43532930259953545,0.29676344091265466,0.4609259342192598,0.3642123898592438,0.42355177263036936,0.5431112604248761,0.491883408969461,0.5032248912783811,0.46205189863470986,0.34849075438986704,0.2986484085182446,0.36342076365238324,0.4826823431439338,0.4676546273100621,0.533471996967388,0.5328768100866583
Beer,0.2406019988427323,1.0,0.3214080475342644,0.3115338150779325,0.01350976267659309,0.24897224802761536,0.3609828119275236,0.23844290133226262,0.3353348858274,0.1588719907476749,0.2724079870602875,0.2009755719710077,0.21474487917143908,0.2958560273640941,0.29289613513086993,0.199321075169473,0.33925539645080116,0.2366387209208566,0.257810316194172,0.3305604742980732,0.3248420472353252,0.3480976945924858,0.27646442165385443,0.2278191634862448,0.2869246288208086,0.1550016336674722,0.27501668163946014,0.24833489635173825,0.3407930668279515,0.36584396982147016
Smoke,0.5012383558789189,0.3214080475342644,1.0,0.6541059108407858,0.249516048380717,0.44399267547797844,0.6496493792581486,0.5144761077390223,0.604988214617484,0.3596319141486088,0.5817868312634649,0.4697225405167132,0.551960133632074,0.7038594615388111,0.5314922131502473,0.32710406031484096,0.5705755219820148,0.44269384171852494,0.5710470063537132,0.6166307467934362,0.5912671014551831,0.6199305808784682,0.5486658251991862,0.401982611372634,0.37432760531122583,0.40665394769419144,0.60513058572536,0.571595592182541,0.6524267567124308,0.6810714826901336
Games,0.5060225029396203,0.3115338150779325,0.6541059108407858,1.0,0.2581541777122959,0.4707828075029971,0.6769038144137389,0.5201855004202395,0.6115235479807152,0.43222822951923334,0.5981907299533644,0.5152711280614869,0.5292684047885643,0.6646461522210242,0.5521008046492393,0.3589735177244061,0.5971545206154644,0.44524151441193904,0.566300918593435,0.6431756573812137,0.6429524081718808,0.6698789055091482,0.5222668267751824,0.4333536843266551,0.3808512053853852,0.4063795179648238,0.6060224921292477,0.5230234918322976,0.6701701428738295,0.6716578987370998
Books,0.22283521638617962,0.01350976267659309,0.249516048380717,0.2581541777122959,1.0,0.1740379523199353,0.2601340040643093,0.21882050537717856,0.28880187480023,0.1905919503586533,0.2481654229123701,0.23797851028571032,0.2458861727533603,0.25894355542605707,0.20004804042200933,0.15424987216457464,0.3015430386191832,0.20358895659131063,0.20256428485867958,0.2523195333901325,0.2543117365308304,0.2348045790072887,0.16106187161702282,0.16213546833685322,0.22669463362131775,0.194739142637814,0.2274124760095098,0.2657460587009854,0.26764115518887116,0.2979907466495116
Hshld,0.3768307945877928,0.24897224802761536,0.44399267547797844,0.4707828075029971,0.1740379523199353,1.0,0.47047548745204393,0.3882799012161427,0.4319455025788018,0.3019482873904245,0.40849358362727195,0.3877317357591336,0.4143283661220534,0.48125373026300333,0.3776875847883984,0.2735911561303296,0.43501455832560926,0.32728778417541776,0.39236953368937416,0.4332074007415091,0.5100045750062174,0.4227668694473053,0.38185544308640873,0.3115684197489904,0.2622409334742364,0.28349440853329927,0.4482282207537811,0.39712568442553164,0.5083993659952196,0.49964897742172126
Clths,0.4907764208995524,0.3609828119275236,0.6496493792581486,0.6769038144137389,0.2601340040643093,0.47047548745204393,1.0,0.5522387094554905,0.621166857174524,0.3713291722985656,0.6551324678853551,0.5160597113226789,0.5196147778842413,0.6754826823765265,0.5182949722918107,0.31100835918816616,0.6267937790689511,0.5046308540560163,0.562550041963086,0.6302755928415411,0.6149250685890342,0.6465147598658372,0.5517043761371422,0.4564608325211681,0.416802999097674,0.37109927962584044,0.6127066376948812,0.5207835890285694,0.684383904743241,0.7207098775192424
Hlth,0.40562719669868436,0.23844290133226262,0.5144761077390223,0.5201855004202395,0.21882050537717856,0.3882799012161427,0.5522387094554905,1.0,0.4591109633935412,0.28960946473108967,0.5145911018349798,0.40657695874672484,0.4257420266138907,0.5518775045372503,0.42350065285184774,0.30965696024129885,0.46939336663081094,0.3790294829099498,0.4694361455652532,0.5300418901690126,0.4963211029287074,0.48605065299887684,0.42050680309775545,0.28622506212718696,0.2962839428280846,0.32262225327571975,0.5271864352022054,0.4552922073322404,0.5406147529798297,0.5740070799410403
Chems,0.4845845005239744,0.3353348858274,0.604988214617484,0.6115235479807152,0.28880187480023,0.4319455025788018,0.621166857174524,0.4591109633935412,1.0,0.36682419940972394,0.5500557339012471,0.41231163366912954,0.44305012626036877,0.5880116689780249,0.4855619250893951,0.2969861979001976,0.5431196874558671,0.4531701385620688,0.5668684695188243,0.5642653960991597,0.581823350939843,0.5378884853306717,0.5038384960657246,0.4060014015257029,0.3917927341144567,0.3675693801924744,0.5940359495830438,0.48028337726681714,0.6193669481958065,0.6084063941454082
Txtls,0.31240726139334213,0.1588719907476749,0.3596319141486088,0.43222822951923334,0.1905919503586533,0.3019482873904245,0.3713291722985656,0.28960946473108967,0.36682419940972394,1.0,0.3694324953604904,0.2682797825110248,0.26912993587604017,0.3884934986144586,0.3333136692861777,0.13850422010080693,0.35672892523792366,0.23749440407367847,0.3748821046521984,0.34703399419815334,0.3446564153064509,0.34974535230048037,0.3248098172006825,0.25136564560028507,0.17330829489670388,0.2194108491374139,0.41079212691706635,0.3114617984031791,0.39820241967294334,0.4111262240047203
